iter	RMSE
0	37325.437
1	35494.26107
2	33826.883
3	32336.68161
4	30831.73778
5	29848.12369
6	28803.90278
7	27740.66145
8	26637.33456
9	25690.42476
10	24848.30707
11	24071.36716
12	23412.13948
13	22692.16734
14	22152.77048
15	21517.01948
16	20969.21042
17	20482.22038
18	20220.58452
19	19847.13814
20	19377.15329
21	18980.3367
22	18693.95094
23	18404.45622
24	18081.3592
25	17678.92043
26	17358.81509
27	17144.24654
28	16798.47717
29	16537.76218
30	16324.3966
31	16142.31214
32	15904.53219
33	15688.9434
34	15504.0252
35	15274.33548
36	15020.8932
37	14826.24343
38	14614.86711
39	14425.62577
40	14245.64604
41	14075.40005
42	13890.96538
43	13731.46196
44	13611.56403
45	13471.98939
46	13328.82323
47	13203.13751
48	13041.68246
49	12902.72374
50	12813.03891
51	12698.59651
52	12592.16108
53	12488.64815
54	12349.86162
55	12182.21623
56	12099.62084
57	11979.66632
58	11888.22917
59	11778.35904
60	11662.77779
61	11550.56374
62	11463.05946
63	11388.93022
64	11252.61244
65	11175.10552
66	11070.64579
67	11008.9679
68	10915.25816
69	10828.44427
70	10661.65703
71	10544.95518
72	10463.3156
73	10387.89342
74	10323.84302
75	10222.254
76	10147.35536
77	10064.75226
78	9958.782003
79	9869.391198
80	9792.746571
81	9710.146031
82	9619.930971
83	9547.661954
84	9443.331552
85	9371.847176
86	9282.026397
87	9193.560422
88	9082.669049
89	9006.303221
90	8923.399304
91	8868.131722
92	8800.497238
93	8723.933295
94	8666.92749
95	8604.646534
96	8540.263335
97	8489.755473
98	8415.938543
99	8364.568486
