iter	Passed	Remaining
0	75	7460
1	142	6969
2	209	6775
3	276	6638
4	345	6561
5	408	6406
6	486	6466
7	554	6374
8	621	6279
9	687	6184
10	755	6114
11	827	6069
12	893	5981
13	960	5899
14	1038	5884
15	1104	5800
16	1171	5718
17	1237	5637
18	1305	5564
19	1376	5506
20	1440	5419
21	1514	5371
22	1585	5306
23	1650	5225
24	1715	5146
25	1785	5083
26	1852	5009
27	1917	4931
28	1982	4854
29	2049	4781
30	2116	4711
31	2181	4634
32	2249	4567
33	2316	4496
34	2381	4423
35	2450	4355
36	2516	4284
37	2585	4217
38	2649	4144
39	2721	4082
40	2791	4016
41	2860	3950
42	2927	3881
43	2991	3807
44	3078	3762
45	3145	3692
46	3216	3627
47	3280	3553
48	3345	3481
49	3419	3419
50	3634	3492
51	3814	3521
52	3931	3486
53	3995	3403
54	4061	3323
55	4126	3242
56	4195	3164
57	4260	3085
58	4325	3005
59	4389	2926
60	4481	2865
61	4559	2794
62	4634	2721
63	4701	2644
64	4770	2568
65	4835	2490
66	4901	2414
67	5017	2361
68	5105	2293
69	5173	2217
70	5237	2139
71	5303	2062
72	5369	1985
73	5434	1909
74	5501	1833
75	5569	1758
76	5641	1685
77	5712	1611
78	5776	1535
79	5849	1462
80	5950	1395
81	6017	1320
82	6093	1248
83	6161	1173
84	6230	1099
85	6299	1025
86	6364	951
87	6429	876
88	6497	803
89	6572	730
90	6639	656
91	6705	583
92	6777	510
93	6841	436
94	6905	363
95	6970	290
96	7042	217
97	7111	145
98	7180	72
99	7244	0
